subject_id	population	sex
HG00096	GBR	male
HG00097	GBR	female
HG00099	GBR	female
HG00100	GBR	female
HG00101	GBR	male
HG00102	GBR	female
HG00103	GBR	male
HG00105	GBR	male
HG00106	GBR	female
HG00108	GBR	male
HG00109	GBR	male
HG00110	GBR	female
HG00111	GBR	female
HG00112	GBR	male
HG00114	GBR	male
HG00115	GBR	male
HG00116	GBR	male
HG00117	GBR	male
HG00118	GBR	female
HG00119	GBR	male
HG00120	GBR	female
HG00121	GBR	female
HG00122	GBR	female
HG00123	GBR	female
HG00125	GBR	female
HG00126	GBR	male
HG00127	GBR	female
HG00128	GBR	female
HG00129	GBR	male
HG00130	GBR	female
HG00131	GBR	male
HG00132	GBR	female
HG00133	GBR	female
HG00136	GBR	male
HG00137	GBR	female
HG00138	GBR	male
HG00139	GBR	male
HG00141	GBR	male
HG00142	GBR	male
HG00143	GBR	male
HG00145	GBR	male
HG00146	GBR	female
HG00148	GBR	male
HG00149	GBR	male
HG00150	GBR	female
HG00151	GBR	male
HG00154	GBR	female
HG00155	GBR	male
HG00157	GBR	male
HG00158	GBR	female
HG00159	GBR	male
HG00160	GBR	male
HG00171	FIN	female
HG00173	FIN	female
HG00174	FIN	female
HG00176	FIN	female
HG00177	FIN	female
HG00178	FIN	female
HG00179	FIN	female
HG00180	FIN	female
HG00181	FIN	male
HG00182	FIN	male
HG00183	FIN	male
HG00185	FIN	male
HG00186	FIN	male
HG00187	FIN	male
HG00188	FIN	male
HG00189	FIN	male
HG00231	GBR	female
HG00232	GBR	female
HG00233	GBR	female
HG00234	GBR	male
HG00235	GBR	female
HG00236	GBR	female
HG00238	GBR	female
HG00239	GBR	female
HG00240	GBR	female
HG00242	GBR	male
HG00243	GBR	male
HG00244	GBR	male
HG00245	GBR	female
HG00246	GBR	male
HG00250	GBR	female
HG00251	GBR	male
HG00252	GBR	male
HG00253	GBR	female
HG00255	GBR	female
HG00256	GBR	male
HG00257	GBR	female
HG00258	GBR	female
HG00259	GBR	female
HG00260	GBR	male
HG00261	GBR	female
HG00262	GBR	female
HG00263	GBR	female
HG00264	GBR	male
HG00265	GBR	male
HG00266	FIN	female
HG00267	FIN	male
HG00268	FIN	female
HG00269	FIN	female
HG00271	FIN	male
HG00272	FIN	female
HG00273	FIN	male
HG00274	FIN	female
HG00275	FIN	female
HG00276	FIN	female
HG00277	FIN	male
HG00278	FIN	male
HG00280	FIN	male
HG00281	FIN	female
HG00282	FIN	female
HG00284	FIN	male
HG00285	FIN	female
HG00306	FIN	female
HG00308	FIN	male
HG00309	FIN	female
HG00310	FIN	male
HG00311	FIN	male
HG00313	FIN	female
HG00315	FIN	female
HG00319	FIN	female
HG00320	FIN	female
HG00321	FIN	male
HG00323	FIN	female
HG00324	FIN	female
HG00325	FIN	male
HG00326	FIN	female
HG00327	FIN	female
HG00328	FIN	female
HG00329	FIN	male
HG00330	FIN	female
HG00331	FIN	female
HG00332	FIN	female
HG00334	FIN	female
HG00335	FIN	male
HG00336	FIN	male
HG00337	FIN	female
HG00338	FIN	male
HG00339	FIN	female
HG00341	FIN	male
HG00342	FIN	male
HG00343	FIN	female
HG00344	FIN	female
HG00345	FIN	male
HG00346	FIN	female
HG00349	FIN	female
HG00350	FIN	female
HG00351	FIN	male
HG00353	FIN	female
HG00355	FIN	female
HG00356	FIN	female
HG00358	FIN	male
HG00360	FIN	male
HG00361	FIN	female
HG00362	FIN	female
HG00364	FIN	female
HG00365	FIN	female
HG00366	FIN	male
HG00367	FIN	female
HG00369	FIN	male
HG00371	FIN	male
HG00372	FIN	male
HG00373	FIN	female
HG00375	FIN	male
HG00376	FIN	female
HG00378	FIN	female
HG00379	FIN	female
HG00380	FIN	female
HG00381	FIN	female
HG00382	FIN	male
HG00383	FIN	female
HG00384	FIN	female
HG01334	GBR	male
HG01789	GBR	male
HG01790	GBR	female
HG01791	GBR	male
HG02215	GBR	female
NA06984	CEU	male
NA06985	CEU	female
NA06986	CEU	male
NA06989	CEU	female
NA06994	CEU	male
NA07037	CEU	female
NA07048	CEU	male
NA07051	CEU	male
NA07056	CEU	female
NA07347	CEU	male
NA07357	CEU	male
NA10847	CEU	female
NA10851	CEU	male
NA11829	CEU	male
NA11830	CEU	female
NA11831	CEU	male
NA11832	CEU	female
NA11840	CEU	female
NA11843	CEU	male
NA11881	CEU	male
NA11892	CEU	female
NA11893	CEU	male
NA11894	CEU	female
NA11918	CEU	female
NA11920	CEU	female
NA11930	CEU	male
NA11931	CEU	female
NA11992	CEU	male
NA11994	CEU	male
NA11995	CEU	female
NA12004	CEU	female
NA12005	CEU	male
NA12006	CEU	female
NA12043	CEU	male
NA12044	CEU	female
NA12045	CEU	male
NA12058	CEU	female
NA12144	CEU	male
NA12154	CEU	male
NA12155	CEU	male
NA12156	CEU	female
NA12234	CEU	female
NA12249	CEU	female
NA12272	CEU	male
NA12273	CEU	female
NA12275	CEU	female
NA12282	CEU	male
NA12283	CEU	female
NA12286	CEU	male
NA12287	CEU	female
NA12340	CEU	male
NA12341	CEU	female
NA12342	CEU	male
NA12347	CEU	male
NA12348	CEU	female
NA12383	CEU	female
NA12399	CEU	male
NA12400	CEU	female
NA12413	CEU	male
NA12489	CEU	female
NA12546	CEU	male
NA12716	CEU	male
NA12717	CEU	female
NA12718	CEU	female
NA12749	CEU	female
NA12750	CEU	male
NA12751	CEU	female
NA12760	CEU	male
NA12761	CEU	female
NA12762	CEU	male
NA12763	CEU	female
NA12775	CEU	male
NA12776	CEU	female
NA12777	CEU	male
NA12778	CEU	female
NA12812	CEU	male
NA12813	CEU	female
NA12814	CEU	male
NA12815	CEU	female
NA12827	CEU	male
NA12829	CEU	male
NA12830	CEU	female
NA12842	CEU	male
NA12843	CEU	female
NA12872	CEU	male
NA12873	CEU	female
NA12874	CEU	male
NA12889	CEU	male
NA12890	CEU	female
NA18486	YRI	male
NA18488	YRI	female
NA18489	YRI	female
NA18498	YRI	male
NA18499	YRI	female
NA18502	YRI	female
NA18505	YRI	female
NA18508	YRI	female
NA18510	YRI	male
NA18511	YRI	female
NA18517	YRI	female
NA18519	YRI	male
NA18520	YRI	female
NA18858	YRI	female
NA18861	YRI	female
NA18867	YRI	female
NA18868	YRI	male
NA18870	YRI	female
NA18873	YRI	female
NA18907	YRI	female
NA18908	YRI	male
NA18909	YRI	female
NA18910	YRI	male
NA18912	YRI	female
NA18916	YRI	female
NA18917	YRI	male
NA18923	YRI	male
